Hours_Studied,Sleep_Hours,Screen_Time,Attendance,Extracurricular,Stress_Level,Final_Score
17.483570765056164,8.679226523903203,2.649643450051237,94.56220688452152,Yes,8,73.31527669404844
14.308678494144077,8.109560419495322,3.710962658568964,99.50701619540989,No,1,76.03035436684749
18.23844269050346,7.071556443904209,2.415160158000077,77.79012516851242,Yes,1,70.92939717090535
22.61514928204013,6.223675866753311,3.3840769407219193,99.09170898393931,Yes,4,74.98645710064686
13.82923312638332,7.837867976336308,0.21277066609242867,82.93701609374673,No,10,65.13890923502356
13.829315215254097,7.472182462506099,4.426587414745877,80.42556385941263,Yes,10,47.15728637950293
22.896064077536955,8.074231864033278,4.002410950724449,71.51048580908059,Yes,6,62.92882384479739
18.837173645764544,7.762206162018363,2.3658227378636187,71.58295773578809,No,9,66.70244684001881
12.652628070325239,8.259463258383203,5.31849133686481,90.76033767839964,Yes,1,68.98207940604995
17.712800217929825,6.357717746127318,5.875140275253116,83.73786983302084,Yes,7,59.916350752245535
12.682911535937688,8.580872878761191,0.7848802712620517,76.79564878108317,Yes,10,54.435694587329415
12.671351232148716,7.237119525630879,2.4745504428675718,88.41910918975698,Yes,5,60.923999911205414
16.20981135783017,9.490313047150318,2.4617153004254035,77.58574354750334,Yes,8,66.33123713223826
5.43359877671101,6.1729746182925185,2.120193797782271,87.32895263033268,Yes,7,41.95054919196103
6.375410837434837,9.0831565637983,5.658949683863497,80.77626240948071,Yes,4,49.1369734715521
12.188562353795136,7.237492940155177,3.612347722454393,94.70656679835457,No,4,67.45000236944759
9.93584439832788,6.218298395662662,3.4709703173787787,94.62088482300338,No,6,62.80063249693851
16.571236662976368,6.419336999134814,0.0,84.32051194367205,Yes,6,66.95566325913622
10.459879622393945,6.615583230166816,5.2708360604184525,80.52457328005048,Yes,9,50.558306147664865
7.938481493323542,7.508999135682299,1.5214832102930549,80.87679389677284,No,5,48.09247254011074
22.32824384460777,7.627402585642599,4.119865260532657,94.17143577004654,No,8,78.68745361269224
13.871118497567322,6.311559995273705,4.554753875916384,79.84538448392836,No,5,53.47580705532209
15.33764102343962,6.97077448928682,6.7213171916773025,76.27178121120538,No,2,60.08951692217455
7.8762590689327165,9.570724430334236,1.3823592017617758,72.5406502562592,No,6,55.69291130613684
12.278086377374088,9.073051804120853,0.0,84.00079362653226,Yes,9,70.98173256611152
15.55461294854933,7.523588403608839,4.36769908950739,84.46396296759525,No,3,62.87718439126343
9.245032112888486,7.0456041738018405,7.601022363021707,95.22726131208722,No,1,59.681354774386975
16.87849009172836,7.144037592061913,6.477892705878874,76.63716089338192,No,1,61.99782456309564
11.996806550405974,7.7362215672765,4.419318830549251,81.429738210052,Yes,3,59.64545886995848
13.541531251033616,5.772648921761913,3.0167276287359055,94.25217216681072,Yes,10,57.184281031938795
